Date,Job Title,URL,Status,Notes
2026-05-26 20:03:06,TEST JOB,https://test.com,Test,Local test run
2026-05-27 00:24:06,🔴Weekday is Hiring (Work From Home - Remote)▪️Post,https://www.linkedin.com/jobs/view/4412082163/,Skipped,Unsupported platform or social media
2026-05-27 00:24:29,#ad🚀MNC 𝗛𝗶𝗿𝗶𝗻𝗴 𝗗𝗿𝗶𝘃𝗲 | 𝗔𝗽𝗽𝗹𝘆 𝗡𝗼𝘄💼 Roles: Multiple ,https://pdlink.in/4omWEqnSelect,Skipped,Auto applied
2026-05-27 00:24:33,🔴Capita is Hiring (Work From Home - Remote) ▪️Post,https://capita.wd3.myworkdayjobs.com/en-US/CapitaGlobal/job/Pune/Executive---Customer-Management_10114140,Skipped,"AI Skipped: The user is a software developer with technical skills, while the job is for Customer Management Executives, which is unrelated to their profile."
2026-05-29 17:38:53,🔴NABARD Financial Services NABFINS Recruitment 202,https://nabfins.org/Careers/form.php?id=1101,Skipped,"AI Skipped: The user is a fresher software developer with skills in Python and automation, while the job is for a Customer Service Officer, which is completely unrelated to their technical profile."
2026-05-29 17:38:54,🔴Bybit is Hiring (Work From Home - Remote) ▪️Post ,https://www.linkedin.com/jobs/view/4411353392/,Skipped,Unsupported platform or social media
2026-05-29 17:38:58,Guys don't miss out this recruitment. Their CTC is,https://job-boards.greenhouse.io/freshprints/jobs/6007312004,Skipped,"AI Skipped: The user is a software developer with technical skills, while the job is for an Order Processing Associate, which is an unrelated administrative/BPO role."
2026-05-29 17:39:03,🔴Fresh Prints is Hiring (Work From Home - Remote) ,https://job-boards.greenhouse.io/freshprints/jobs/6007312004,Skipped,"AI Skipped: The user is a software developer with programming and automation skills, while 'Order Processing Associate' typically implies an administrative or data entry role unrelated to software development."
2026-05-29 17:39:09,🔴Fresh Prints is Hiring (Work From Home - Remote)▪,https://job-boards.greenhouse.io/freshprints/jobs/6007312004,Skipped,"AI Skipped: The user is a fresher software developer with programming and automation skills, which are not directly relevant to an 'Order Processing Associate' role."
2026-05-29 17:39:15,🔴Sutherland is Hiring (Work From Home/Office - Hyb,https://jobs.smartrecruiters.com/Sutherland/744000092938471-customer-support-associate,Skipped,"AI Skipped: The user is a fresher software developer with programming and automation skills, while the job is for Customer Support/Helpdesk Associates, which is a completely unrelated field."
2026-05-29 17:39:18,🔴Wing is Hiring (Work From Home - Remote) ▪️Post -,https://jobs.lever.co/getwingapp/f6c44f7d-2606-4e18-a886-8e96e59ed2f2/apply,Skipped,"AI Skipped: The user is a fresher software developer with skills in programming and automation, while the job is for a Customer Service Representative, which is completely unrelated to their technical profile."
2026-05-29 17:40:58,🔴Union Public Service Commission UPSC CDS Recruitm,https://upsconline.nic.in/instruction,Skipped,"AI Skipped: The user is a software developer, while the job is for military officers in the UPSC Combined Defence Services, which is completely unrelated to their technical skills and career aspirations."
2026-05-29 17:41:07,🔴Walmart is Hiring (Work From Home/Office - Hybrid,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/IN-TN-CHENNAI-Home-Office-TECCI-Park/RESOLUTION-COORDINATOR--CONTACT-CENTER_R-2523485,Skipped,"AI Skipped: The user is a fresher software developer with technical skills, while the job is a purely customer support (Contact Center - Chat & Voice Process) role, which is unrelated to their profile."
2026-05-29 17:41:59,🔴MakeMyTrip is Hiring (Work From Home - Remote) ▪️,https://docs.google.com/forms/d/e/1FAIpQLSfpMgR33C2wSfBumPHo_r3rvHpFgxeQlFgA2Ob44AhZYsfQ8w/viewform,Skipped,Auto applied
2026-05-29 17:42:52,🔴Wiingy is Hiring (Work From Home - Remote) ▪️Post,https://www.linkedin.com/jobs/view/4417538695/,Skipped,Unsupported platform or social media
2026-05-29 17:42:54,🔴Moonpay is Hiring (Work From Home - Remote)▪️Post,https://www.linkedin.com/jobs/view/4410718820/,Skipped,Unsupported platform or social media
2026-05-29 17:43:05,🔴Forest Research Institute FRI Recruitment 2026▪️P,https://friexam.in/,Skipped,"AI Skipped: The user is a software developer with technical skills in Python, JavaScript, and automation, which are completely unrelated to administrative roles like Clerks, Assistants, or MTS."
2026-05-29 17:43:07,Hi Buddies 👋Yocket is hiring for the role of custo,https://www.linkedin.com/jobs/view/4418991043/,Skipped,Unsupported platform or social media
2026-05-29 17:43:08,🔴Yocket is Hiring (Work From Home - Remote) ▪️Post,https://www.linkedin.com/jobs/view/4418991043/,Skipped,Unsupported platform or social media
2026-05-29 17:43:10,🔴Yocket is Hiring (Work From Home - Remote)▪️Post ,https://www.linkedin.com/jobs/view/4418991043/,Skipped,Unsupported platform or social media
2026-05-29 17:43:17,Hi Buddies👋Fresh Prints is Hiring for the role of ,https://job-boards.greenhouse.io/freshprints/jobs/5798981004,Skipped,"AI Skipped: The user is a software developer with technical skills, while the job is for a junior HR associate, which is a completely different field."
2026-05-29 17:43:26,🔴Fresh Prints is Hiring (Work From Home - Remote) ,https://job-boards.greenhouse.io/freshprints/jobs/5798981004,Skipped,"AI Skipped: The user is a software developer with technical skills, while the job is for a Junior HR Associate, which is a completely different field."
2026-05-29 17:43:37,🔴Fresh Prints is Hiring (Work From Home - Remote)▪,https://job-boards.greenhouse.io/freshprints/jobs/5798981004,Skipped,"AI Skipped: The user is a fresher software developer with technical skills, and the job is for a Junior HR Associate, which is a completely unrelated field."
2026-05-29 17:56:28,Manual /apply,https://docs.google.com/forms/d/e/1FAIpQLSfpMgR33C2wSfBumPHo_r3rvHpFgxeQIFgA2Ob44AhZYsfQ8w/viewform,Skipped,Manual apply
2026-05-29 18:03:07,Manual /apply,https://docs.google.com/forms/d/e/1FAIpQLSfpMgr33C2wSfBumPHo_r3rvHpfgxeQIFgA2Ob44AhZYsfQ8w/viewform,Skipped,Manual apply
2026-05-29 18:05:28,Manual /apply,https://docs.google.com/forms/d/e/1FAIpQLSfpMgR33C2wSfBumPHo_r3rvHpFgxeQlFgA2Ob44AhZYsfQ8w/abuse,Skipped,Manual apply
2026-05-29 18:11:37,Manual /apply,https://jobs.greenhouse.io/example/jobs/12345,Skipped,Manual apply
2026-05-29 18:17:19,Manual /apply,https://job-boards.greenhouse.io/freshprints/jobs/6007312004,Applied,Manual apply
2026-05-29 19:26:10,🔴Amazon is Hiring (Work From Home - Remote) ▪️Post,https://www.amazon.jobs/en/jobs/10413341/investigation-specialist-i,Skipped,Auto applied
2026-05-29 20:40:49,Manual /apply,https://job-boards.greenhouse.io/freshprints/jobs/6007312004,Applied,Manual apply
2026-05-30 10:19:07,🔴Finyard is Hiring (Work From Home - Remote) ▪️Pos,https://job-boards.eu.greenhouse.io/finyard/jobs/4876009101,Skipped,"AI Skipped: Score 4/10: The user is a software developer with strong technical skills in programming and automation, which do not align with the non-technical Payments Support Specialist role."
2026-06-05 16:34:07,🔴 Bharat Sanchar Nigam Limited BSNL Recruitment 20,https://youtu.be/Z93kPqBID1o,Skipped,Unsupported platform
2026-06-05 16:34:11,🔴 Dish TV is Hiring (Work From Home - Remote) ▪️ P,https://forms.office.com/pages/responsepage.aspx?id=aU-XK7hcWE2uccfT-I5FTuKl4rScMS5KucWJCBCrrlRUQ0NYNFMyUEpSSEZYUEJHNFhaNks4TUpRMy4u&route=shorturl,Skipped,Unsupported platform
